,open,high,low,close,volume,value
2024-09-13 09:00:00,78269000.0,81100000.0,77700000.0,80930000.0,2847.08604999,225703375433.60367
2024-09-14 09:00:00,80930000.0,81174000.0,80040000.0,80524000.0,1324.44479737,106802968052.03972
2024-09-15 09:00:00,80524000.0,81009000.0,79090000.0,79690000.0,1293.20254846,103959710509.01263
2024-09-16 09:00:00,79691000.0,79860000.0,77740000.0,78469000.0,2425.49996851,190805166243.93906
2024-09-17 09:00:00,78468000.0,82364000.0,77774000.0,81116000.0,3063.50091322,246315657168.2539
2024-09-18 09:00:00,81116000.0,82618000.0,80008000.0,82604000.0,3362.15013751,272656090815.34293
2024-09-19 09:00:00,82602000.0,85000000.0,82286000.0,83892000.0,4549.0273458,380397446780.82184
2024-09-20 09:00:00,83891000.0,85478000.0,83377000.0,84385000.0,3257.11829911,275217777612.6938
2024-09-21 09:00:00,84384000.0,84750000.0,84000000.0,84425000.0,1066.57067251,89952936852.66151
2024-09-22 09:00:00,84429000.0,85500000.0,83401000.0,84829000.0,1869.26119943,157468215075.89536
2024-09-23 09:00:00,84838000.0,86250000.0,83832000.0,84631000.0,2655.34388664,226181555032.54324
2024-09-24 09:00:00,84630000.0,85750000.0,84009000.0,85248000.0,1998.91561289,169441365824.40887
2024-09-25 09:00:00,85248000.0,85950000.0,84220000.0,84362000.0,1821.46293118,154899364722.59076
2024-09-26 09:00:00,84362000.0,86602000.0,83800000.0,86000000.0,2865.16236011,244700921914.2255
2024-09-27 09:00:00,85948000.0,87410000.0,85877000.0,86958000.0,2462.85215474,213547052709.95197
2024-09-28 09:00:00,86958000.0,87250000.0,86003000.0,86732000.0,1483.00508773,128540643136.82378
2024-09-29 09:00:00,86731000.0,86891000.0,85800000.0,85958000.0,1188.41412224,102657137024.75742
2024-09-30 09:00:00,85958000.0,85958000.0,83061000.0,83730000.0,3131.32274904,263683386847.1853
2024-10-01 09:00:00,83730000.0,84884000.0,80844000.0,81500000.0,4057.42297213,336112162482.81934
2024-10-02 09:00:00,81500000.0,83300000.0,80940000.0,81707000.0,2890.80470844,236838955693.58624
2024-10-03 09:00:00,81707000.0,82700000.0,81302000.0,82424000.0,1821.57540109,149578179974.47787
2024-10-04 09:00:00,82401000.0,84300000.0,82038000.0,83805000.0,2177.10847718,181091795326.97305
2024-10-05 09:00:00,83804000.0,84190000.0,83511000.0,83956000.0,776.76532606,65173151136.41679
2024-10-06 09:00:00,83997000.0,84710000.0,83600000.0,84533000.0,990.98870219,83382761433.05855
2024-10-07 09:00:00,84436000.0,86301000.0,83884000.0,83942000.0,2788.21491807,237451217198.9837
2024-10-08 09:00:00,83942000.0,85270000.0,83848000.0,84139000.0,1438.91380709,121453629364.64726
2024-10-09 09:00:00,84139000.0,84500000.0,82187000.0,82385000.0,1623.29835868,135554834915.67761
2024-10-10 09:00:00,82383000.0,83127000.0,80635000.0,82131000.0,2261.63071429,185681130897.78085
2024-10-11 09:00:00,82131000.0,85474000.0,81749000.0,84451000.0,2292.25174675,191651388216.23724
2024-10-12 09:00:00,84450000.0,85250000.0,84330000.0,84956000.0,1236.13303613,104865794502.29797
2024-10-13 09:00:00,84997000.0,85181000.0,83890000.0,84806000.0,1007.64328314,85233068272.26575
2024-10-14 09:00:00,84782000.0,88963000.0,84300000.0,88640000.0,4502.93766545,392356925183.8489
2024-10-15 09:00:00,88640000.0,91531000.0,87510000.0,90600000.0,5320.08065393,475365534131.7573
2024-10-16 09:00:00,90518000.0,92350000.0,90194000.0,91610000.0,3290.95467218,300845392783.4781
2024-10-17 09:00:00,91610000.0,92000000.0,91150000.0,91725000.0,2166.90172052,198466118818.0868
2024-10-18 09:00:00,91758000.0,93697000.0,91510000.0,93330000.0,2703.40345601,250778556476.78455
2024-10-19 09:00:00,93358000.0,93593000.0,92769000.0,93322000.0,1204.1436611,112257624816.85332
2024-10-20 09:00:00,93322000.0,94299000.0,92956000.0,93901000.0,1766.03106746,165259971452.53424
2024-10-21 09:00:00,93901000.0,94456000.0,91459000.0,92161000.0,3492.66954786,324857725696.1088
2024-10-22 09:00:00,92161000.0,93380000.0,91090000.0,92877000.0,2390.90338556,220756238977.91486
2024-10-23 09:00:00,92877000.0,93000000.0,90860000.0,92375000.0,2169.77076181,199665847457.3109
2024-10-24 09:00:00,92375000.0,94699000.0,92080000.0,94077000.0,2468.54308221,230528066716.63248
2024-10-25 09:00:00,94077000.0,95143000.0,92432000.0,93762000.0,3453.26947882,324322657135.6851
2024-10-26 09:00:00,93762000.0,94298000.0,93297000.0,93993000.0,1181.9583116,110975712520.31711
2024-10-27 09:00:00,93993000.0,95120000.0,93900000.0,94819000.0,1412.77364621,133501091993.42345
2024-10-28 09:00:00,94824000.0,97714000.0,94520000.0,97401000.0,3447.08968512,330946884900.9437
2024-10-29 09:00:00,97401000.0,102158000.0,97200000.0,101305000.0,5694.58179714,567661752603.4331
2024-10-30 09:00:00,101300000.0,101305000.0,99135000.0,100571000.0,3437.3159675,344734758766.32104
2024-10-31 09:00:00,100571000.0,100893000.0,97300000.0,98112000.0,3670.22663296,364198594030.4766
2024-11-01 09:00:00,98112000.0,99758000.0,95520000.0,97285000.0,4850.88260337,472387488519.2129
2024-11-02 09:00:00,97331000.0,97999000.0,96825000.0,97205000.0,1419.21063313,138251166859.1501
2024-11-03 09:00:00,97205000.0,97232000.0,93905000.0,95883000.0,4358.15713691,416376735248.19946
2024-11-04 09:00:00,95987000.0,96803000.0,93083000.0,94289000.0,3556.89181882,337921974474.5364
2024-11-05 09:00:00,94289000.0,98074000.0,93958000.0,96170000.0,4785.81750822,460604127860.6611
2024-11-06 09:00:00,96196000.0,104395000.0,96104000.0,104085000.0,17173.68278488,1745207534538.4504
2024-11-07 09:00:00,104085000.0,104999000.0,102290000.0,104115000.0,5517.18974843,572085674515.601
2024-11-08 09:00:00,104177000.0,107591000.0,104109000.0,106843000.0,5104.85574163,539366060581.3163
2024-11-09 09:00:00,106845000.0,106990000.0,105873000.0,106294000.0,2702.45288762,287678813640.0703
2024-11-10 09:00:00,106294000.0,112470000.0,106050000.0,111440000.0,8111.0365608,889548072877.27
2024-11-11 09:00:00,111440000.0,125073000.0,111273000.0,124503000.0,12056.83132426,1413170980237.1287
2024-11-12 09:00:00,124476000.0,128010000.0,118864000.0,124967000.0,17037.75956278,2115375980647.706
2024-11-13 09:00:00,124951000.0,131041000.0,122771000.0,128111000.0,11214.08048901,1421545614830.135
2024-11-14 09:00:00,128111000.0,130500000.0,121674000.0,123572000.0,9173.07983888,1165804427242.5054
2024-11-15 09:00:00,123543000.0,128950000.0,123370000.0,128236000.0,5943.50915703,750816994986.7344
2024-11-16 09:00:00,128128000.0,129103000.0,126090000.0,127071000.0,3914.09648698,499883409180.5182
2024-11-17 09:00:00,127130000.0,128000000.0,125252000.0,126472000.0,3321.82583352,421512902761.08
2024-11-18 09:00:00,126469000.0,127482000.0,126200000.0,126813000.0,628.70658121,79753006970.80843
